id,movie_title,lead_actor1,lead_actor2,sub_actor1,sub_actor2
194,사바하,이정재,박정민,이재인,유지태
195,생일,,,,
196,성난황소,마동석,송지효,,
197,속닥속닥,소주연,김민규,,
198,스윙키즈,디오,자레드그라임스,박혜수,오정세
199,신비아파트: 금빛 도깨비와 비밀의 동굴,조현정,김영은,김채하,양정화
200,아버지를 찾아서,,,,
201,안나 카레니나,에카테리나구세바,세르게이리,알렉산더마라쿠린,
202,안시성,조인성,남주혁,박성웅,
203,암전,서예지,진선규,,
204,언더독,디오,박소담,박철민,
205,여곡성,서영희,손나은,이태리,박민지
206,여중생A,김환희,수호,,
207,예스 평창!,최문순,박용성,이광재,박선규
208,오늘도 위위,선우선,심형탁,,
209,우상,한석규,설경구,천우희,
210,웃는남자 감독판,박강현,양준모,민경아,신영숙
211,원더풀 고스트,마동석,김영광,이유영,
212,인랑,강동원,한효주,정우성,김무열
213,인턴형사 오견식,이성열,이예현,허성태,
214,임을 위한 행진곡,김꽃비,김부선,전수현,김채희
215,자전차왕 엄복동,비,강소라,이범수,
216,점박이 한반도의 공룡2 : 새로운 낙원,박희순,라미란,김성균,
217,증인,정우성,김향기,,
218,진범,송새벽,유선,,
219,창궐,현빈,장동건,,
220,크게 될 놈,김해숙,손호준,,
221,클로젯,하정우,김남길,허율,김시아
222,탐정: 리턴즈,권상우,성동일,이광수,
223,터닝메카드W: 반다인의 비밀 특별판,소연,윤미나,이현진,이지현
224,트와이스랜드,나연,정연,모모,사나
225,폐교,천이슬,이윤수,서도현,황명환
226,해적왕 작스톰,엄상현,이주창,정선혜,최석필
227,해피 투게더,박성웅,송새벽,최로운,혁
228,협상,손예진,현빈,,
229,0.0MHz,정은지,이성열,최윤영,신주환
230,7년의 밤,장동건,류승룡,송새벽,고경표
231,PMC: 더 벙커,하정우,이선균,,
232,게이트,정려원,임창정,정상훈,이경영
233,고향이 어디세요,김용복,조윤조,손봉임,손은홍
234,곤지암,위하준,박지현,오아연,문예원
235,골든슬럼버,강동원,김의성,한효주,김성균
236,공작,황정민,이성민,조진웅,주지훈
237,광인옥한흠,옥한흠,김영순,,
238,구세주: 리턴즈,최성국,송재하,김성경,정이연
239,군함도,황정민,소지섭,송중기,이정현
240,그것만이 내 세상,이병헌,윤여정,박정민,
241,극장판 또봇: 로봇군단의 습격,하룡이,신경선,이현,노영주
242,기억의 밤,강하늘,김무열,,
243,꾼,현빈,유지태,배성우,박성웅
244,나비잠,나카야마미호,김재욱,,
245,남한산성,이병헌,김윤석,박해일,고수
246,내게 남은 사랑을,성지루,전미선,권소현,홍석
247,너에게만 들려주고 싶어,팀,손하정,차수빈,최종남
248,너의 결혼식,박보영,김영광,,
249,넛잡 2,윌아넷,캐서린헤이글,성룡,이사벨라모너
250,노트르담 드 파리,안젤로델베키오,히바타와지,리차드샤레스,다니엘라부아
251,"다시, 벚꽃",장범준,,,
252,대립군,이정재,여진구,김무열,
253,대장 김창수,조진웅,송승헌,,
254,더 데빌,,,,
255,더 펜션,조재윤,박효주,조한철,이영진
256,덕구,이순재,정지훈,,
257,독전,조진웅,류준열,김주혁,김성령
258,돌아와요 부산항애(愛),성훈,조한선,윤소이,공정환
259,땐뽀걸즈,이규호,김현빈,박혜영,박시영
260,로마의 휴일,임창정,공형진,정상훈,
261,물괴,김명민,김인권,혜리,최우식
262,미쓰백,한지민,김시아,이희준,
263,박열,이제훈,최희서,김인우,
264,반드시 잡는다,백윤식,성동일,,
265,번개맨과 신비의 섬,서홍석,홍민아,유수호,최오식
266,변산,박정민,김고은,,
267,보통사람,손현주,장혁,,
268,부라더,마동석,이동휘,이하늬,
269,뷰티풀 투모로우,박효신,정재일,,
270,뽀로로 극장판 공룡섬 대모험,이선,이미자,함수정,홍소영
271,사라진 밤,김상경,김강우,김희애,
272,산상수훈,백서빈,,,
273,살인소설,지현우,오만석,이나라,김학철
274,"서서평, 천천히 평온하게",하정우,윤안나,안은새,
275,석조저택 살인사건,고수,김주혁,문성근,박성웅
276,수성못,이세영,김현준,남태부,
277,슈퍼 빼꼼: 스파이 대작전,김태균,최정현,,
278,시간위의 집,김윤진,택연,조재윤,
279,신 전래동화,재희,윤기원,유다미,
280,신과함께-인과 연,하정우,주지훈,김향기,마동석
281,신과함께-죄와 벌,하정우,차태현,주지훈,김향기
282,썬키스 패밀리,박희순,진경,황우슬혜,이고은
283,아빠는 예쁘다,김명국,진선미,손민지,백서빈
284,아이 캔 스피크,나문희,이제훈,,
285,암수살인,김윤석,주지훈,,
286,어느 날,,,,
287,어쩌다 옥탑방,홍석우,주민찬,,
288,염력,류승룡,심은경,,
289,이 사랑도 전해질까요,박민우,김지안,,
290,이웃집 스타,한채영,진지희,,
291,장산범,염정아,박혁권,,
292,젝스키스 에이틴,은지원,이재진,장수원,김재덕
293,조선명탐정: 흡혈괴마의 비밀,김명민,오달수,김지원,
294,죄 많은 소녀,전여빈,서영화,고원희,이태경
295,지금 만나러 갑니다,소지섭,손예진,,
296,질투의 역사,남규리,오지호,장소연,김승현
297,채비,고두심,김성균,,
298,챔피언,마동석,권율,한예리,
299,청년경찰,박서준,강하늘,,
300,청춘 합창단 - 또 하나의 꿈,김태원,,,
301,치즈인더트랩,박해진,오연서,박기웅,유인영
302,택시운전사,송강호,토마스크레취만,유해진,류준열
303,특별시민,최민식,곽도원,심은경,문소리
304,파워배틀 와치카: 와치가면의 역습,엄상현,전태열,,
305,파파 오랑후탄,박철현,이혜영,윤유선,염광호
306,풍뎅이뎅이,배정미,,,
307,해빙,조진웅,신구,김대명,
308,허스토리,김희애,김해숙,,
309,흥부: 글로 세상을 바꾼 자,정우,김주혁,정진영,
310,1987s,김윤석,하정우,유해진,김태리
311,7호실,신하균,디오,,
312,가려진 시간,강동원,신은수,이효제,
313,걷기왕,심은경,박주희,,
314,계춘할망,윤여정,김고은,,
315,"고산자, 대동여지도",차승원,유준상,,
316,공조,현빈,유해진,김주혁,
317,국가대표2,수애,오달수,오연서,
318,굿바이 싱글,김혜수,마동석,김현수,
319,그대 이름은 장미,유호정,박성웅,오정세,하연수
320,"그래, 가족",이요원,정만식,이솜,정준원
321,그물,,,,
322,극장판 프랭키와 친구들: 생명의 나무,이소은,안영미,김민정,최승훈
323,극장판 프리파라 모두 모여라! 프리즘☆투어즈,아케사카사토미,아스미카나,고토사오리,하라사유리
324,다이노X 탐험대,정준하,하하,,
325,달빛궁궐,이하늬,김슬기,권율,김서영
326,"당신, 거기 있어줄래요",김윤석,변요한,채서진,
327,덕혜옹주,손예진,박해일,,
328,루시드 드림,고수,설경구,,
329,머니백,김무열,박희순,이경영,전광렬
330,메이킹 패밀리,김하늘,리즈팅,문메이슨,
331,목숨 건 연애,하지원,천정명,진백림,
332,무서운 이야기 3 : 화성에서 온 소녀,임슬옹,경수진,박정민,홍은희
333,"무현, 두 도시 이야기",노무현,김하연,백승영,조덕희
334,밀정,송강호,공유,,
335,범죄의 여왕,박지영,조복래,,
336,보안관,이성민,조진웅,김성균,
337,봉이 김선달,유승호,조재현,고창석,라미란
338,부릉! 부릉! 브루미즈: 스피더의 모험 일기,양정화,엄상현,이소영,우정신
339,부산행,공유,정유미,마동석,김수안
340,비정규직 특수요원,강예원,한채아,,
341,빅뱅 메이드,G-DRAGON,태양,T.O.P,대성
342,사랑하기 때문에,차태현,김유정,서현진,임주환
343,살인자의 기억법,설경구,김남길,설현,오달수
344,서울역,류승룡,심은경,이준,
345,순종,김영화,김은혜,한성국,최강희
346,슈퍼 프렌즈,변현우,김지혜,서지연,남도형
347,스플릿,유지태,이정현,이다윗,정성화
348,"시발, 놈: 인류의 시작",손이용,김보리,,
349,시선 사이,김동완,오광록,박주희,서영화
350,싱글라이더,이병헌,공효진,안소희,
351,아기와 나,이이경,정연주,,
352,아더왕의 전설,플로랑모트,카미유루,자호,샤를리부아소
353,오 마이 파파,소알로이시오,,,
354,올레,신하균,박희순,오만석,유다인
355,원라인,임시완,진구,박병은,
356,원스텝,한재석,박산다라,,
357,위대한 소원,류덕환,김동영,안재홍,전노민
358,인천상륙작전,이정재,이범수,리암니슨,진세연
359,인천상륙작전 : 익스텐디드 에디션(확장판),이정재,이범수,리암니슨,진세연
360,일사각오,이지형,설지윤,최원,
361,임금님의 사건수첩,이선균,안재홍,,
362,자백,소지섭,김윤진,나나,최광일
363,재심,정우,강하늘,김해숙,
364,조작된 도시,지창욱,심은경,안재홍,
365,최강전사 미니특공대 : 영웅의 탄생,,,,
366,춘몽,한예리,양익준,박정범,윤종빈
367,카이 : 거울 호수의 전설,김영은,박고운,강진아,박주광
368,커튼콜,,,,
369,탐정 홍길동: 사라진 마을,이제훈,김성균,,
370,탐정사무소 - 그놈의 얼굴,강현중,한그림,유승일,문주연
371,터널,,,,
372,터닝메카드W: 블랙미러의 부활,소연,신용우,윤아영,장광
373,트릭,,,,
374,파워배틀 와치카 미니카 배틀리그: 불꽃의 질주,,,,
375,판도라,김남길,김주현,정진영,김영애
376,퍼스트 스텝,,,,
377,혼숨,류덕환,조복래,,
378,1급기밀,김상경,김옥빈,최무성,
379,검사외전,황정민,강동원,,
380,검은 사제들,김윤석,강동원,,
381,고녀석 맛나겠다2 : 함께라서 행복해,엄상현,시영준,안장혁,김희선
382,굿바이 그리고 헬로우,서하준,최종남,최하윤,김필
383,그날의 분위기,문채원,유연석,,
